CENTRO,ANIO,MES,INCIDENTE_POLICIAL,INCIDENTE_TRANSITO,INCIDENTE_SALUD,INCIDENTE_SERVICIOS_MUNICIPALES,INCIDENTE_BOMBEROS,INCIDENTE_GESTIÓN_DE_RIESGO,INCIDENTE_MILITAR,TOTAL_DE_INCIDENTES_RECEPTADOS
CUENCA,2013,DICIEMBRE,11.407,2.890,2.428,300,576,11,"",17.612
CUENCA,2014,ENERO,9.510,2.457,2.293,289,451,15,35,15.050
CUENCA,2014,FEBRERO,9.440,2.264,2.172,260,431,33,48,14.648
CUENCA,2014,MARZO,10.384,2.592,2.523,234,260,64,38,16.095
CUENCA,2014,ABRIL,9.542,2.480,2.294,241,248,16,74,14.895
CUENCA,2014,MAYO,10.285,2.650,2.444,281,301,86,95,16.142
CUENCA,2014,JUNIO,9.542,2.558,2.321,233,279,10,69,15.012
CUENCA,2014,JULIO,9.463,2.363,2.329,208,305,14,243,14.925
CUENCA,2014,AGOSTO,9.262,2.226,2.393,279,493,22,224,14.899
CUENCA,2014,SEPTIEMBRE,9.671,2.366,2.396,318,657,15,252,15.675
CUENCA,2014,OCTUBRE,10.283,2.712,2.598,309,399,57,284,16.642
CUENCA,2014,NOVIEMBRE,11.140,2.696,2.766,286,406,21,194,17.509
CUENCA,2014,DICIEMBRE,11.555,3.039,2.842,322,392,36,252,18.438
CUENCA,2015,ENERO,9.979,2.410,2.765,407,442,72,202,16.277
CUENCA,2015,FEBRERO,9.832,2.267,2.499,354,434,22,92,15.500
CUENCA,2015,MARZO,9.856,2.475,2.720,384,379,67,148,16.029
CUENCA,2015,ABRIL,10.006,2.425,2.568,485,321,18,111,15.934
CUENCA,2015,MAYO,10.706,2.604,2.751,489,289,6,169,17.014
CUENCA,2015,JUNIO,9.572,2.427,2.509,464,315,15,160,15.462
AMBATO,2013,ENERO,9.385,"",779,1,466,69,1,10.701
AMBATO,2013,FEBRERO,12.066,"",891,5,296,135,"",13.393
AMBATO,2013,MARZO,13.016,"",1.058,152,269,73,2,14.570
AMBATO,2013,ABRIL,11.298,"",1.173,119,291,13,"",12.894
AMBATO,2013,MAYO,11.107,"",1.260,150,309,22,1,12.849
AMBATO,2013,JUNIO,10.879,"",1.257,134,246,26,"",12.542
AMBATO,2013,JULIO,9.937,"",1.284,100,258,26,"",11.605
AMBATO,2013,AGOSTO,10.782,"",1.510,148,377,39,3,12.859
AMBATO,2013,SEPTIEMBRE,11.303,"",1.433,183,523,27,"",13.469
AMBATO,2013,OCTUBRE,11.895,"",1.658,205,376,62,43,14.239
AMBATO,2013,NOVIEMBRE,11.758,"",1.703,216,371,42,68,14.158
AMBATO,2013,DICIEMBRE,12.502,"",1.738,188,358,27,83,14.896
AMBATO,2014,ENERO,11.315,168,1.797,193,329,29,81,13.912
AMBATO,2014,FEBRERO,10.286,898,1.584,139,367,26,36,13.336
AMBATO,2014,MARZO,12.204,1.093,1.918,218,258,68,67,15.826
AMBATO,2014,ABRIL,11.197,1.073,1.994,154,213,44,57,14.732
AMBATO,2014,MAYO,11.953,1.238,2.151,168,228,73,202,16.013
AMBATO,2014,JUNIO,11.556,1.066,2.075,176,247,26,216,15.362
AMBATO,2014,JULIO,11.791,985,2.191,177,326,19,264,15.753
AMBATO,2014,AGOSTO,11.503,1.040,2.217,191,370,21,173,15.515
AMBATO,2014,SEPTIEMBRE,10.980,1.053,2.129,175,400,17,187,14.941
AMBATO,2014,OCTUBRE,11.534,1.162,2.425,214,350,27,123,15.835
AMBATO,2014,NOVIEMBRE,12.341,1.123,2.566,264,384,29,74,16.781
AMBATO,2014,DICIEMBRE,13.680,1.240,2.588,266,399,23,74,18.270
AMBATO,2015,ENERO,11.314,1.758,2.746,196,345,40,97,16.496
AMBATO,2015,FEBRERO,11.257,2.307,2.508,194,318,18,80,16.682
AMBATO,2015,MARZO,12.315,2.373,2.715,309,514,39,96,18.361
AMBATO,2015,ABRIL,11.897,2.366,2.682,220,278,57,104,17.604
AMBATO,2015,MAYO,12.627,2.373,2.837,217,333,34,67,18.488
AMBATO,2015,JUNIO,11.037,2.264,2.864,207,295,88,75,16.830
MACHALA,2012,DICIEMBRE,3.774,199,313,132,119,2,9,4.548
MACHALA,2013,ENERO,5.896,750,802,347,150,3,8,7.956
MACHALA,2013,FEBRERO,7.189,895,659,337,140,1,8,9.229
MACHALA,2013,MARZO,7.152,771,829,432,150,3,12,9.349
MACHALA,2013,ABRIL,5.555,649,681,365,141,5,12,7.408
MACHALA,2013,MAYO,5.387,661,638,271,160,3,9,7.129
MACHALA,2013,JUNIO,5.580,671,714,219,125,-,6,7.315
MACHALA,2013,JULIO,5.039,670,697,226,154,-,10,6.796
MACHALA,2013,AGOSTO,5.094,640,753,282,162,2,7,6.940
MACHALA,2013,SEPTIEMBRE,5.406,676,727,237,212,-,4,7.262
MACHALA,2013,OCTUBRE,6.216,832,738,289,157,4,17,8.253
MACHALA,2013,NOVIEMBRE,6.490,850,811,288,183,5,14,8.641
MACHALA,2013,DICIEMBRE,7.624,977,946,403,241,11,27,10.229
MACHALA,2014,FEBRERO,6.501,779,874,"",127,15,21,8.317
MACHALA,2014,MARZO,7.468,791,919,-,121,35,29,9.363
MACHALA,2014,ABRIL,6.217,696,916,-,160,10,11,8.010
MACHALA,2014,MAYO,6.559,766,990,-,110,52,10,8.487
MACHALA,2014,JUNIO,6.632,677,1.123,-,132,19,18,8.601
MACHALA,2014,JULIO,6.620,738,1.106,-,165,7,111,8.747
MACHALA,2014,AGOSTO,6.898,828,1.175,-,162,4,102,9.169
MACHALA,2014,SEPTIEMBRE,6.506,782,1.168,-,218,5,145,8.824
MACHALA,2014,OCTUBRE,6.895,730,1.035,-,211,2,96,8.969
MACHALA,2014,NOVIEMBRE,7.336,1.121,1.136,2,228,11,112,9.946
MACHALA,2014,DICIEMBRE,8.142,892,1.165,-,263,11,201,10.674
MACHALA,2015,ENERO,8.088,842,1.234,-,192,19,142,10.517
MACHALA,2015,FEBRERO,7.237,666,1.245,-,172,33,123,9.476
MACHALA,2015,MARZO,7.370,750,1.185,94,201,122,175,9.897
MACHALA,2015,ABRIL,6.916,676,1.091,63,160,108,155,9.169
MACHALA,2015,MAYO,7.645,770,1.184,165,166,49,177,10.156
MACHALA,2015,JUNIO,7.033,740,1.256,139,144,3,243,9.558
PORTOVIEJO,2013,OCTUBRE,7.601,665,1.484,734,861,10,7,11.362
PORTOVIEJO,2013,NOVIEMBRE,7.154,724,1.535,686,786,40,12,10.937
PORTOVIEJO,2013,DICIEMBRE,8.274,969,1.532,947,827,55,9,12.613
PORTOVIEJO,2014,ENERO,7.841,799,1.677,1.280,476,64,8,12.145
PORTOVIEJO,2014,FEBRERO,7.709,755,1.605,1.112,282,63,13,11.539
PORTOVIEJO,2014,MARZO,8.918,861,1.852,1.410,388,46,11,13.486
PORTOVIEJO,2014,ABRIL,7.939,873,1.475,1.131,315,41,11,11.785
